geohash,non_acclat,non_acclong,UJAHR,UMONAT,UWOCHENTAG,hour
u1qfjvd,52.414307310482094,9.748280863986823,2017,1,1,5
u1qfncj,52.38856949159768,9.796536585516677,2017,8,1,8
u1r1but,52.36491846532944,9.884122939907565,2018,4,3,2
u1qcvmh,52.36674068000046,9.729663140220044,2017,9,7,15
u1qfqb9,52.43032112952868,9.790435700699398,2018,7,5,2
u1qcwjf,52.32745414873096,9.75873714529053,2019,2,3,1
u1r1bsu,52.36626457872252,9.872513353471907,2017,8,6,20
u1qcy7p,52.35623377426886,9.777754397817613,2018,12,5,8
u1r1b6u,52.354143404323764,9.860257217971556,2019,4,1,8
u1qfphu,52.409509567272764,9.805596612535581,2017,4,7,21
u1qcvt2,52.367769291604525,9.73502901209724,2017,9,3,4
u1qfp2j,52.383217947013264,9.81827278398856,2018,6,4,13
u1qcsmk,52.324189134751755,9.684451960982972,2019,4,7,10
u1r40dm,52.39552721142053,9.872799581646804,2018,6,2,2
u1qfjfg,52.39804027275443,9.749978231423661,2018,2,3,21
u1qcxzg,52.33797213088317,9.837008047517829,2018,3,5,8
u1qfpfs,52.397889135053745,9.839184560938817,2017,11,3,21
u1r1bjj,52.36639979127601,9.850627497280447,2017,4,7,2
u1r40mw,52.41336159984332,9.86330609342213,2017,5,2,17
u1qcz9n,52.344847634569,9.83021688370425,2018,6,7,17
u1qfn69,52.39755001800727,9.768531368506093,2018,8,2,23
u1qfnvt,52.41415195026947,9.796071532959122,2019,5,1,6
u1qcxqk,52.330414818131466,9.816722533461427,2018,9,7,3
u1qcytm,52.36877489757691,9.785727226555014,2019,5,3,2
u1r405t,52.402413020454695,9.851974236831945,2017,8,3,7
u1qfq60,52.438636675055484,9.767232951583622,2017,3,5,9
u1qcvgu,52.36027860737067,9.750932860199846,2019,4,6,0
u1qcv0v,52.343129804650246,9.719550478471499,2018,1,6,23
u1qcuhd,52.363745347679625,9.671418714300373,2018,7,2,0
u1qf4yu,52.421203505416045,9.61929854729177,2019,3,3,1
u1qfnjb,52.414690413142196,9.756006221168278,2017,2,7,17
u1qfnq5,52.41651775104132,9.772048144872596,2018,6,6,1
u1qfht5,52.411068453292266,9.695206609164327,2018,11,3,8
u1qfn7s,52.402173874725314,9.77346052801178,2018,2,1,12
u1qcswv,52.33230312496001,9.697350651078892,2018,12,1,6
u1qcskg,52.32201686006403,9.683962324803947,2017,7,2,13
u1qf5mw,52.41378478961408,9.643257721935079,2018,3,2,1
u1qczg7,52.35743430205582,9.836936253333489,2018,6,7,5
u1qcsnn,52.328841174296734,9.676892528077962,2017,11,7,2
u1qfnh0,52.406001372771236,9.75626753867416,2019,5,1,20
u1qcvtk,52.368853137240315,9.740628201618485,2019,3,7,17
u1qcue9,52.35861483418256,9.69183404830134,2018,2,2,12
u1r40gs,52.40301517499314,9.883276681448095,2018,8,3,1
u1qfp9s,52.39136226167197,9.828096130674083,2017,12,7,16
u1qcy7d,52.35891191862434,9.77067047062376,2017,9,4,12
u1qcyfe,52.353317884787074,9.792985139404932,2018,5,4,1
u1qczs1,52.36105076494304,9.823338110409772,2017,3,3,6
u1qfppe,52.42504746689278,9.804845665415758,2017,3,5,1
u1qfm05,52.42763983282005,9.71692260771696,2017,1,3,6
u1qfjxd,52.425009048989025,9.736681900998862,2018,2,1,19
u1qcxh7,52.319047004654955,9.80413697182529,2018,12,3,19
u1r1845,52.30648684808597,9.848875316056914,2018,8,5,16
u1qfj84,52.38377816494225,9.737001809566049,2018,10,5,1
u1qcy59,52.35830338164059,9.757353927359759,2018,7,3,21
u1qcyk4,52.36144764979166,9.769714232633316,2017,3,5,22
u1r40kz,52.41020279677882,9.86563170022039,2017,12,4,17
u1qfn78,52.40238950319981,9.767248622216737,2018,1,5,3
u1qfkbh,52.42676003683025,9.707162162495184,2018,9,5,6
u1qfq8t,52.430470195324766,9.785952412822274,2017,6,6,18
u1qcupc,52.38238313899641,9.669855535539034,2017,2,5,3
u1r40j9,52.4134750266364,9.845407223159413,2018,8,5,8
u1qfnys,52.418601072070345,9.794788739084533,2017,1,1,6
u1qcybm,52.34103914526006,9.796481932632437,2018,3,6,0
u1qczr2,52.37922570433282,9.811818044480034,2017,9,6,14
u1qcudh,52.35068218043803,9.696613542424894,2019,1,4,16
u1qcwy4,52.32824622176953,9.79284450671526,2019,5,3,10
u1qcss0,52.31823379269859,9.690423079207749,2018,11,6,7
u1qfnvu,52.41475232688474,9.794981717070815,2018,3,2,19
u1qcvyf,52.37615841817843,9.748964563066064,2018,10,6,12
u1qfh1t,52.392319675405474,9.67584417880578,2018,4,3,7
u1qcu6p,52.34986791109027,9.688711239239144,2019,1,5,0
u1qfhpf,52.42589441398851,9.671232025067487,2017,3,7,9
u1qcvm6,52.36821816360341,9.726347197182388,2018,4,2,21
u1qcym5,52.36637138741801,9.772045987111174,2017,10,4,6
u1qcvbx,52.342815658558635,9.755338796276446,2018,3,2,4
u1qfj2t,52.385719698388584,9.729999417226121,2019,2,1,12
u1qcuq0,52.37252431017412,9.67958966399198,2017,4,1,6
u1qfpcv,52.39273447621645,9.840293584056237,2018,6,7,9
u1qcwjc,52.32678560728206,9.757814987036506,2018,10,3,3
u1qcxu3,52.31939138198086,9.834474471432847,2017,11,5,0
u1qcsjm,52.323821587850304,9.675153798469491,2017,11,2,13
u1qfjkm,52.40624201890691,9.730073872520151,2018,1,2,23
u1qfq9f,52.43718970131855,9.781823758616156,2017,9,3,6
u1r4020,52.38381196728135,9.856071536814866,2017,9,5,4
u1qfr6n,52.43807186314392,9.819986542538484,2017,3,4,13
u1r40je,52.41354578782477,9.848861231846394,2019,3,5,19
u1r185r,52.31321077900821,9.853735280121414,2018,10,6,4
u1r1b4n,52.350424046696084,9.85330837062566,2017,7,4,16
u1qfn8y,52.388025436324796,9.78667642309777,2017,3,6,19
u1qcu6c,52.35510275579033,9.680364621506365,2017,9,7,0
u1qcup7,52.38004430017703,9.673354719213988,2017,5,7,13
u1qcu1e,52.34827996106993,9.672260141657844,2018,11,7,14
u1r1bz8,52.38062897931436,9.876915233981386,2017,1,1,9
u1qfp1j,52.38849940194541,9.806759882059245,2018,11,7,15
u1qf783,52.428713292024945,9.647536427921029,2018,8,6,22
u1qcut7,52.3679843831253,9.694790007344425,2017,9,6,6
u1qcv03,52.340908675357745,9.713623232503924,2018,5,2,0
u1qcvcr,52.34575077767524,9.755207012871699,2018,3,5,9
u1qfhxs,52.42485501756444,9.695812755692119,2018,3,4,4
u1qfqfn,52.43819486392112,9.79803108170118,2018,12,1,19
u1qcytc,52.3715637555039,9.779622784777953,2019,3,3,7
u1qfr67,52.43996618190901,9.815136089834274,2017,8,7,21
u1qfpyt,52.41966985984474,9.840861795874424,2017,12,1,5
u1r40k5,52.40505925626301,9.859846773249568,2018,2,1,0
u1r40b9,52.38692308764851,9.878150586670555,2018,10,3,16
u1qczfx,52.35296185230399,9.842677276004398,2018,4,1,17
u1qcu5y,52.3595081096268,9.677550728870514,2019,4,1,22
u1qfj71,52.39947116858522,9.724274277755388,2018,3,7,2
u1qcv76,52.35746515515112,9.726637112607724,2018,10,3,1
u1qfp6p,52.39437317887509,9.820752728289781,2018,12,3,0
u1qcv0h,52.339557740714355,9.718166337363071,2018,10,2,12
u1r1bxm,52.37905985892674,9.873491923514745,2018,2,6,13
u1qf5fp,52.394014293617396,9.666632582295156,2019,3,5,18
u1qcvr5,52.378527069764516,9.727386719951275,2017,9,5,14
u1qctzs,52.33744114094607,9.750658759975646,2019,3,5,18
u1qfnn3,52.418139368801825,9.757913334729443,2018,4,2,6
u1qfn07,52.38484364672264,9.760605533720083,2017,10,5,23
u1r1b3m,52.34602056159045,9.861894341572754,2018,7,2,5
u1qfhhk,52.40718855248775,9.674384730594726,2018,1,5,15
u1qfhrx,52.42428523829555,9.688847860194313,2017,1,1,23
u1qfnx6,52.42313223001406,9.781870230817558,2017,10,7,9
u1qfj17,52.39034769329768,9.717313975099747,2018,4,2,3
u1r40b1,52.384047357151175,9.87918507994928,2017,8,7,22
u1qfpc8,52.391541818453135,9.8330596695505,2017,2,2,6
u1qfn93,52.39051095128806,9.779433364437082,2018,10,6,18
u1qfhbh,52.38313671804441,9.706878674110074,2018,12,3,15
u1qf4ep,52.399351108492986,9.612868766488194,2018,3,1,12
u1qcy6t,52.353243583198385,9.774421281377906,2018,7,1,11
u1qfj5u,52.404136403665404,9.71855150454808,2018,3,7,5
u1r40v6,52.41227788842356,9.880528093059208,2017,6,1,6
u1qfpt9,52.41427904870299,9.824509000544793,2018,12,1,12
u1r1bjj,52.3668061741221,9.851429407438424,2017,10,2,20
u1qcxrn,52.334201457762035,9.819207162334433,2018,4,4,15
u1qczsv,52.3659918032965,9.828954158838673,2018,10,1,11
u1qfpsu,52.40982058669801,9.827468376337603,2017,3,5,15
u1qfhyr,52.417995199029335,9.711586374050901,2017,3,3,9
u1qczwk,52.37421990906881,9.827734841276113,2019,4,2,13
u1qctn6,52.329868035638775,9.715012160819049,2017,12,6,8
u1r40kh,52.405453038775555,9.860957391024535,2019,1,6,7
u1qczpz,52.38218127643984,9.810175877394453,2018,5,6,19
u1r40hh,52.40535294332458,9.849778559511824,2017,1,2,22
u1qcyqb,52.377263829009436,9.767150727362255,2017,1,2,16
u1qczm4,52.36659282425516,9.814683859697517,2019,5,5,11
u1qcxj2,52.32501859139489,9.800345150648095,2018,9,6,21
u1qcxdy,52.31117123221005,9.830537815446256,2019,5,5,3
u1qfj3c,52.39267567645736,9.72452762916461,2018,9,3,8
u1r415x,52.40300011497501,9.897509561111589,2017,6,1,10
u1qcsms,52.32578002437742,9.684582034986331,2017,1,1,11
u1qfhqc,52.420021128525455,9.681116932423691,2017,5,6,2
u1qcv6x,52.35308745882109,9.732558429173913,2018,10,7,11
u1qcy5d,52.35846851799596,9.759233421670993,2017,1,7,2
u1r1bu9,52.36470944615122,9.879267132675936,2019,2,6,18
u1qfm24,52.42733133570605,9.72642194867229,2019,4,7,21
u1qcu5b,52.35957732425258,9.669198522387248,2018,9,6,0
u1r18z2,52.33543546248548,9.87713188595592,2017,8,7,23
u1qcz96,52.34604597345564,9.825669464266433,2018,11,1,11
u1qcy3k,52.34691778074129,9.773278622438607,2017,10,5,2
u1qfhk4,52.40480687917625,9.681785476180641,2018,3,1,6
u1qfpy6,52.41833124449155,9.836111615656847,2017,3,2,11
u1qcu8p,52.339854294985955,9.700787683435474,2017,3,5,1
u1qfpk3,52.406264527840506,9.813075216484872,2017,3,3,20
u1qfqe2,52.44465493167277,9.77897941849631,2018,9,6,14
u1qfnhy,52.409777512792175,9.764772739214129,2018,7,1,23
u1r400z,52.38742663980407,9.854539165972833,2017,9,7,11
u1r40q3,52.41825401352657,9.85714148022287,2017,12,7,11
u1qcyxy,52.38265321303359,9.787287259519072,2019,4,6,17
u1qfr5j,52.443932239087744,9.806686629315768,2018,6,4,11
u1qcwt4,52.32326268272653,9.781088042847228,2018,4,5,9
u1r400s,52.38684784315787,9.850413258496188,2017,5,1,17
u1qfq6u,52.44239032207269,9.773415816604148,2017,6,2,20
u1qcyew,52.35877739385801,9.786962518691837,2017,7,6,14
u1qcy2x,52.342526202981624,9.777612922383376,2018,12,1,13
u1r40en,52.40041658212991,9.875023466280973,2018,10,5,22
u1qcs7z,52.31676220711888,9.689266957881742,2018,4,4,4
u1qfp1r,52.389820840766674,9.809982362563145,2017,5,5,14
u1qczq5,52.372986477978806,9.815494914088005,2017,8,5,3
u1qfn1w,52.39140106879698,9.765397227275493,2018,7,3,12
u1qfhwu,52.421102269495414,9.696049050056747,2018,1,4,4
u1qcufx,52.35319810680181,9.710933651968498,2018,5,3,16
u1qcy1v,52.34975278895246,9.763215256655203,2019,4,1,6
u1r18e2,52.31289200651203,9.866313138184406,2019,5,6,17
u1qfh8x,52.38652773234191,9.700064791673563,2018,6,5,18
u1qczg2,52.357954340569584,9.833154483540536,2018,12,7,12
u1qfh5b,52.403505962629325,9.668676295137912,2017,7,3,18
u1qfjzx,52.42507093442599,9.755852496870272,2018,12,1,3
u1qfh72,52.40199113626479,9.67986668912177,2019,3,4,2
u1qczvs,52.36949541319138,9.838349944317155,2018,9,1,11
u1qczx0,52.37848391162802,9.822900332010816,2018,12,7,9
u1qcz78,52.35913430085263,9.811812933228072,2018,5,2,13
u1qcvp5,52.37829714876802,9.716508341641788,2019,1,3,18
u1qfp97,52.39076143725148,9.82637401464685,2017,11,2,17
u1qcz77,52.35738057376683,9.815050754570837,2018,12,2,20
u1qczkz,52.36562415933314,9.821206943198954,2019,5,5,18
u1r185y,52.316481777305626,9.852475978036606,2018,1,2,9
u1qfp4q,52.395243079580304,9.808567113171783,2019,1,6,16
u1qfppr,52.42394440034268,9.809936841634524,2018,1,2,12
u1qcv7f,52.36021867060234,9.726599767313456,2017,6,2,19
u1qcyuz,52.36564365016022,9.798682559261275,2017,6,3,7
u1qcwwy,52.333217718359236,9.786865380272596,2018,9,6,17
u1qcv9y,52.34913680594718,9.743355150938303,2018,12,1,0
u1qczgv,52.35969081007948,9.840701068394818,2018,3,6,2
u1qcyx3,52.37871331063472,9.779672742874595,2018,5,7,9
u1qf5xk,52.42264139772679,9.652520493284948,2018,4,4,19
u1qfjwg,52.421119338664674,9.739324284700698,2017,8,2,5
u1qcykn,52.361291269270055,9.776353039515147,2017,7,4,10
u1qf5zp,52.4219806143664,9.667318311064506,2017,12,3,23
u1qcgyh,52.37236288001281,9.662693773092942,2018,2,6,10
u1r1b81,52.33955267119863,9.867543535265726,2018,3,2,9
u1qfh7z,52.40463331347599,9.689338186556029,2017,9,3,22
u1qcuek,52.356893798171235,9.695822994716154,2018,4,6,4
u1qcymd,52.37041729123439,9.769825517101722,2017,6,3,20
u1qf4fg,52.39888411637421,9.61795895072864,2019,1,4,0
u1qcz62,52.35191354744629,9.811441910411881,2017,8,4,19
u1qfjjw,52.4133209409888,9.720389186867026,2017,11,4,18
u1qcvcf,52.34891744537506,9.748074737476687,2018,6,6,19
u1qf5n7,52.417368455493644,9.628816227878378,2017,5,2,19
u1qfn2e,52.38625918918388,9.771447992964852,2019,1,3,12
u1qcvvf,52.371450597987895,9.748421011077337,2018,7,7,19
u1qfr49,52.441660246845174,9.801884450961344,2017,8,6,22
u1qcsxh,52.333846105282845,9.696756867155084,2018,9,7,7
u1qfp2c,52.38736015294766,9.812702227417867,2019,2,1,18
u1qcyzp,52.377653618393964,9.798887105149321,2019,4,2,2
u1qfnrd,52.424523719795914,9.7696842299981,2017,8,5,17
u1r184w,52.30947293155093,9.852189418851346,2018,4,2,10
u1r18pe,52.33694705609085,9.848944914719572,2018,12,7,0
u1qfn3j,52.38946223148625,9.773782775127467,2018,10,2,14
u1qcwsy,52.32126144379738,9.786813344797435,2018,8,6,3
u1r1bpb,52.38231982669098,9.84410764959475,2017,11,6,17
u1qcxx0,52.333426757625446,9.821854351454117,2017,1,6,17
u1qf5ud,52.40754856856724,9.660884263354896,2018,2,6,2
u1qfhm7,52.4123058209925,9.683831893174261,2017,12,1,15
u1qcyz4,52.37855599970653,9.791959930263243,2018,12,1,17
u1qfjcw,52.392297546117504,9.753416249548621,2017,9,5,17
u1qcuk4,52.36179483822941,9.682400258704673,2018,5,6,5
u1qcwnb,52.332142554700205,9.755906122460239,2017,8,1,8
u1qcwwg,52.333093408984475,9.78233595680445,2017,7,6,11
u1qctzb,52.33808155830121,9.745307567566224,2019,3,6,3
u1qcuyk,52.37320866110491,9.707161806442825,2017,11,4,8
u1r1bhg,52.365196487941205,9.84872423017435,2018,10,1,3
u1r40sy,52.409434255209916,9.875054779214278,2017,7,1,10
u1qfpfq,52.396170214239696,9.841169750189266,2018,5,3,21
u1qcuv5,52.36715713811279,9.705267423325855,2017,9,5,0
u1r1855,52.311586054376654,9.848229630165418,2017,2,3,6
u1qfh8j,52.38378191897515,9.697227273443733,2018,11,6,13
u1qcguq,52.362318847844755,9.66612640459908,2017,5,2,14
u1r1brb,52.38175985013056,9.854848373191299,2017,3,2,23
u1qfp8j,52.38282512539716,9.829992388027716,2018,10,1,13
u1qfq87,52.42853866700645,9.782563853849972,2018,2,1,23
u1qcz29,52.341873823919016,9.812253197698295,2017,11,7,15
u1qfhrg,52.425834874295816,9.684316739177367,2017,10,7,6
u1qcyxu,52.381911944055815,9.783729685947208,2019,3,7,15
u1r1bt8,52.36923487064416,9.866473135402048,2017,2,5,22
u1qcu5y,52.359807975104935,9.677067116730736,2017,8,3,11
u1qcu7t,52.35827137164287,9.686190953492366,2018,3,1,0
u1qczeu,52.360039876623134,9.82855222391071,2018,8,5,4
u1r1bzz,52.382489270268096,9.887146454883299,2019,5,6,15
u1qcuec,52.36026923806221,9.69245196645553,2018,3,5,6
u1qfjmf,52.41452992477467,9.725762602564304,2017,2,3,4
u1qctp4,52.333504626295884,9.71590886879868,2018,11,5,13
u1r415x,52.403228990096366,9.897477238591506,2018,12,3,16
u1qfh7n,52.3995471747886,9.68822576473502,2017,12,6,8
u1qfnsw,52.40822465230875,9.786921184679077,2017,12,6,17
u1qcv7s,52.359261031429334,9.729732477446419,2018,11,5,12
u1qfpx1,52.42141167664328,9.823910696127635,2018,6,1,7
u1qcwnf,52.33337394963904,9.759964410067505,2017,3,2,8
u1qczg6,52.35746723819196,9.835607321201897,2017,10,4,4
u1qczy1,52.37216460758121,9.835107037179904,2017,9,4,14
u1qcww6,52.330216682856566,9.781030237142883,2019,1,4,3
u1qfpg9,52.403328816346175,9.835013836460854,2017,11,7,0
u1qctyk,52.32925494893891,9.751383851555877,2017,7,4,10
u1qfpev,52.40416185740198,9.829570351800184,2018,3,4,14
u1qczpw,52.38100802334095,9.808903527185894,2017,7,2,15
u1qcggn,52.35670272019788,9.66543083823995,2018,8,4,22
u1r18hu,52.321568282247014,9.850096416341591,2018,9,4,20
u1qcv3m,52.346067257058436,9.730810754424981,2017,6,6,20
u1qcvex,52.35847012948649,9.744544831502491,2019,2,6,22
u1qcxq3,52.32944723674392,9.813530245054947,2017,3,5,9
u1qfj3z,52.393381900215445,9.733573285970868,2017,6,5,5
u1qcyv4,52.366971232515866,9.791674926751167,2017,6,7,4
u1qcsv1,52.323322466081265,9.702856844600792,2018,8,2,20
u1qczc6,52.346393450591954,9.835760128245582,2017,4,1,8
u1qcyxs,52.380865199065276,9.783814216691066,2019,5,4,11
u1qctrk,52.33583999351441,9.729333990448989,2017,6,6,0
u1qcwrk,52.33512027380657,9.772930392762818,2018,7,4,17
u1qcge1,52.35614916219115,9.64795242845097,2018,2,6,6
u1r1bnw,52.37536764179244,9.853015766915945,2019,1,2,12
u1qfhzv,52.425883942117764,9.708616278642019,2018,12,3,23
u1qcstc,52.32731310975469,9.692381702186692,2018,4,3,13
u1qfpmz,52.41511426812876,9.820984713018074,2018,4,2,12
u1qcvqp,52.372137652897244,9.733306350468558,2017,5,2,18
u1qfqbj,52.427086608626084,9.795972588591589,2017,8,1,7
u1qcwsb,52.32122521261165,9.77835120995734,2017,3,2,23
u1qctpr,52.33547357394787,9.721624865718049,2018,11,7,14
u1qcuvu,52.37046040365809,9.706807470819188,2018,5,4,15
u1r406g,52.39888718903385,9.859256860694936,2017,5,4,8
u1qfppy,52.42540826358902,9.809252702067878,2018,9,7,8
u1r1861,52.3066191102024,9.856665585470122,2018,10,6,6
u1qctnc,52.33213390801362,9.713528223168412,2017,9,3,16
u1qcvj8,52.370158046873364,9.7126154098448,2017,5,2,4
u1r1bkr,52.362354564963596,9.865450484624718,2018,1,1,11
u1qf72w,52.429809507326716,9.64365222067359,2019,5,3,2
u1qcy1z,52.349218449313774,9.765992529069937,2017,8,7,0
u1r1bzw,52.38141864330533,9.88556427438617,2018,8,5,3
u1r40v3,52.41172994052099,9.879371977169052,2018,9,4,20
u1qfjpe,52.42409871098192,9.716312160692658,2017,6,4,11
u1r18k3,52.318377714214684,9.856472898411488,2017,6,3,14
u1qfpr0,52.42224331033205,9.811226327617792,2017,10,7,17
u1qfqfy,52.44191629833764,9.798165687365266,2017,8,4,8
u1qcsv1,52.322897232295546,9.703059131960552,2017,3,3,16
u1qfhex,52.40283748208241,9.70010562834876,2017,2,6,19
u1qfpd8,52.39669228655991,9.82303899629954,2018,4,1,14
u1qfnpw,52.42406667789482,9.76536523837878,2018,8,1,20
u1qczhw,52.36382682132654,9.808137857709621,2019,5,4,17
u1qfjf4,52.39484323687403,9.748461594675623,2019,3,1,21
u1r407p,52.39991416200146,9.864923057349692,2017,5,7,9
u1qfnnu,52.42079636929807,9.762290192065375,2018,11,6,21
u1qfppn,52.421315555200366,9.808527069434625,2017,2,6,21
u1qcz8k,52.34126005587225,9.827768374008821,2019,2,1,7
u1qcyk2,52.36227205892865,9.768196402318734,2017,10,2,19
u1qfnzq,52.42399260016826,9.797788856685306,2019,5,1,10
u1qfj1m,52.39063639484383,9.719319136916472,2018,8,3,16
u1qfjdz,52.39863878331492,9.744643750769526,2019,2,5,0
u1qfk0n,52.42766566204484,9.677217060988943,2018,5,4,20
u1qfp9s,52.39205386684258,9.828367291291041,2018,1,5,10
u1qczdz,52.35408695869681,9.832359471394696,2017,8,2,9
u1qcstg,52.32666531581923,9.694888365736121,2018,8,5,1
u1qfq3e,52.435135223592155,9.772115000330254,2018,7,7,21
u1qf5hm,52.4068912233521,9.631916364550525,2018,8,7,0
u1qcy2r,52.34141455320362,9.777344237600937,2018,4,5,22
u1qfnzg,52.426715284502855,9.793520701212229,2019,2,2,9
u1qf5w3,52.41770356813921,9.64797622357516,2018,6,4,13
u1qfh82,52.384361770140174,9.690061520318626,2017,12,6,11
u1r40e4,52.3993347228567,9.869778369680043,2018,6,2,12
u1qfpqg,52.420007598706455,9.81581444920063,2018,5,3,7
u1qf557,52.4007814266025,9.628293451135173,2018,3,5,17
u1r1bu7,52.36222101318845,9.881612131010497,2018,10,3,0
u1qfjkj,52.40564656267689,9.73089446574669,2018,8,4,10
u1r1bmn,52.36758329688763,9.86378225494071,2019,1,5,0
u1qcvbq,52.34093888351111,9.753317187615623,2019,2,7,0
u1qcguh,52.3620909709372,9.663606049850946,2017,12,7,6
u1qfhsx,52.40780878608963,9.699832633478096,2018,2,4,8
u1qfntq,52.41237520468902,9.786614239502619,2019,2,5,8
u1r18hu,52.32143820477916,9.84977324632491,2017,6,5,13
u1qcysc,52.36577184929155,9.780136406039494,2018,9,4,23
u1qcgf0,52.35102654975795,9.657513827108566,2017,7,5,19
u1qfpgw,52.40219902333052,9.842214477286749,2018,6,7,13
u1qcvh1,52.36086286321947,9.71348411989478,2018,2,2,14
u1qfn4y,52.39914882815037,9.765105773586257,2017,9,5,11
u1r1bnk,52.37419672713169,9.850093386722701,2018,3,3,8
u1qcxzt,52.33633724938131,9.840315246036687,2019,3,3,7
u1qf5g9,52.4021555852132,9.659514902364904,2019,5,4,12
u1r404u,52.39870414404758,9.849478301837566,2018,1,4,15
u1qfr2c,52.431141430134076,9.813235138890313,2018,4,7,9
u1qfj0h,52.38375852662514,9.718131811888469,2017,12,7,10
