geohash7,nonacc_lat,nonacc_long,UJAHR,UMONAT,UWOCHENTAG,hour,geohash,cluster_id
u1qfqet,52.446402384189795,9.785035325095492,2018,5,5,20,u1qfqe,-1.0
u1r1b7d,52.359261851063785,9.857704597634696,2018,6,1,10,u1r1b7,2229.0
u1qfqkp,52.44919943436768,9.777637271466467,2019,5,1,4,u1qfqk,-1.0
u1qfq60,52.43801825984464,9.766907138657006,2017,6,6,2,u1qfq6,-1.0
u1qfhyc,52.41997979014546,9.703559080686274,2017,10,3,0,u1qfhy,1493.0
u1qcsmx,52.325462039012535,9.68885578621068,2018,4,6,8,u1qcsm,33.0
u1qfjvd,52.4143073104821,9.748280863986825,2017,1,1,5,u1qfjv,1783.0
u1qfncj,52.38856949159768,9.796536585516675,2017,8,1,8,u1qfnc,1878.0
u1r1but,52.36491846532944,9.884122939907565,2018,4,3,2,u1r1bu,-1.0
u1qcvmh,52.366740680000454,9.729663140220042,2017,9,7,15,u1qcvm,165.0
u1qfqb9,52.43032112952868,9.7904357006994,2018,7,5,2,u1qfqb,2185.0
u1qcwjf,52.327454148730965,9.75873714529053,2019,2,3,1,u1qcwj,-1.0
u1r1bsu,52.36626457872252,9.87251335347191,2017,8,6,20,u1r1bs,2264.0
u1qcy7p,52.35623377426886,9.777754397817613,2018,12,5,8,u1qcy7,-1.0
u1r1b6u,52.35414340432376,9.860257217971556,2019,4,1,8,u1r1b6,2229.0
u1qfphu,52.40950956727278,9.805596612535581,2017,4,7,21,u1qfph,1919.0
u1qcvt2,52.36776929160453,9.735029012097241,2017,9,3,4,u1qcvt,165.0
u1qfp2j,52.38321794701326,9.81827278398856,2018,6,4,13,u1qfp2,2022.0
u1qcsmk,52.324189134751755,9.684451960982972,2019,4,7,10,u1qcsm,24.0
u1r40dm,52.39552721142053,9.872799581646804,2018,6,2,2,u1r40d,-1.0
u1qfjfg,52.39804027275443,9.749978231423661,2018,2,3,21,u1qfjf,165.0
u1qcxzg,52.337972130883166,9.837008047517827,2018,3,5,8,u1qcxz,874.0
u1qfpfs,52.39788913505375,9.839184560938817,2017,11,3,21,u1qfpf,2090.0
u1r1bjj,52.36639979127601,9.850627497280447,2017,4,7,2,u1r1bj,2237.0
u1r40mw,52.41336159984332,9.86330609342213,2017,5,2,17,u1r40m,-1.0
u1qcz9n,52.344847634569,9.83021688370425,2018,6,7,17,u1qcz9,868.0
u1qfn69,52.397550018007266,9.768531368506093,2018,8,2,23,u1qfn6,165.0
u1qfnvt,52.41415195026947,9.796071532959123,2019,5,1,6,u1qfnv,1919.0
u1qcxqk,52.33041481813146,9.816722533461428,2018,9,7,3,u1qcxq,856.0
u1qcytm,52.368774897576905,9.785727226555014,2019,5,3,2,u1qcyt,1008.0
u1r405t,52.4024130204547,9.851974236831943,2017,8,3,7,u1r405,-1.0
u1qfq60,52.43863667505549,9.767232951583622,2017,3,5,9,u1qfq6,-1.0
u1qcvgu,52.360278607370674,9.750932860199846,2019,4,6,0,u1qcvg,165.0
u1qcv0v,52.343129804650246,9.7195504784715,2018,1,6,23,u1qcv0,57.0
u1qcuhd,52.36374534767962,9.671418714300373,2018,7,2,0,u1qcuh,172.0
u1qf4yu,52.42120350541605,9.61929854729177,2019,3,3,1,u1qf4y,1212.0
u1qfnjb,52.4146904131422,9.756006221168278,2017,2,7,17,u1qfnj,1786.0
u1qfnq5,52.41651775104132,9.772048144872596,2018,6,6,1,u1qfnq,1941.0
u1qfht5,52.41106845329225,9.695206609164329,2018,11,3,8,u1qfht,1402.0
u1qfn7s,52.402173874725314,9.77346052801178,2018,2,1,12,u1qfn7,1849.0
u1qcswv,52.33230312496001,9.697350651078892,2018,12,1,6,u1qcsw,47.0
u1qcskg,52.32201686006403,9.683962324803947,2017,7,2,13,u1qcsk,-1.0
u1qf5mw,52.41378478961408,9.64325772193508,2018,3,2,1,u1qf5m,1234.0
u1qczg7,52.357434302055815,9.836936253333489,2018,6,7,5,u1qczg,1147.0
u1qcsnn,52.32884117429674,9.676892528077962,2017,11,7,2,u1qcsn,-1.0
u1qfnh0,52.40600137277124,9.75626753867416,2019,5,1,20,u1qfnh,-1.0
u1qcvtk,52.36885313724032,9.740628201618485,2019,3,7,17,u1qcvt,165.0
u1qcue9,52.35861483418256,9.69183404830134,2018,2,2,12,u1qcue,165.0
u1r40gs,52.40301517499314,9.883276681448097,2018,8,3,1,u1r40g,-1.0
u1qfp9s,52.39136226167197,9.828096130674085,2017,12,7,16,u1qfp9,2072.0
u1qcy7d,52.358911918624344,9.77067047062376,2017,9,4,12,u1qcy7,165.0
u1qcyfe,52.353317884787074,9.792985139404932,2018,5,4,1,u1qcyf,961.0
u1qczs1,52.36105076494304,9.823338110409773,2017,3,3,6,u1qczs,1128.0
u1qfppe,52.42504746689278,9.804845665415758,2017,3,5,1,u1qfpp,2125.0
u1qfm05,52.42763983282004,9.716922607716961,2017,1,3,6,u1qfm0,1751.0
u1qfjxd,52.425009048989025,9.736681900998862,2018,2,1,19,u1qfjx,-1.0
u1qcxh7,52.31904700465496,9.804136971825288,2018,12,3,19,u1qcxh,817.0
u1r1845,52.30648684808597,9.848875316056914,2018,8,5,16,u1r184,-1.0
u1qfj84,52.38377816494224,9.737001809566047,2018,10,5,1,u1qfj8,165.0
u1qcy59,52.358303381640596,9.757353927359759,2018,7,3,21,u1qcy5,165.0
u1qcyk4,52.36144764979166,9.769714232633316,2017,3,5,22,u1qcyk,165.0
u1r40kz,52.41020279677882,9.86563170022039,2017,12,4,17,u1r40k,-1.0
u1qfn78,52.402389503199814,9.767248622216735,2018,1,5,3,u1qfn7,165.0
u1qfkbh,52.42676003683025,9.707162162495184,2018,9,5,6,u1qfkb,1499.0
u1qfq8t,52.43047019532477,9.785952412822274,2017,6,6,18,u1qfq8,2181.0
u1qcupc,52.38238313899641,9.669855535539034,2017,2,5,3,u1qcup,198.0
u1r40j9,52.4134750266364,9.845407223159413,2018,8,5,8,u1r40j,2138.0
u1qfnys,52.41860107207034,9.794788739084533,2017,1,1,6,u1qfny,1919.0
u1qcybm,52.34103914526007,9.796481932632435,2018,3,6,0,u1qcyb,947.0
u1qczr2,52.37922570433282,9.811818044480033,2017,9,6,14,u1qczr,1174.0
u1qcudh,52.350682180438035,9.696613542424895,2019,1,4,16,u1qcud,155.0
u1qcwy4,52.32824622176953,9.792844506715259,2019,5,3,10,u1qcwy,792.0
u1qcss0,52.31823379269859,9.690423079207749,2018,11,6,7,u1qcss,-1.0
u1qfnvu,52.414752326884745,9.794981717070817,2018,3,2,19,u1qfnv,1919.0
u1qcvyf,52.376158418178434,9.748964563066064,2018,10,6,12,u1qcvy,165.0
u1qfh1t,52.39231967540547,9.675844178805779,2018,4,3,7,u1qfh1,1340.0
u1qcu6p,52.34986791109027,9.688711239239144,2019,1,5,0,u1qcu6,103.0
u1qfhpf,52.4258944139885,9.671232025067487,2017,3,7,9,u1qfhp,1335.0
u1qcvm6,52.36821816360341,9.726347197182386,2018,4,2,21,u1qcvm,165.0
u1qcym5,52.366371387418006,9.772045987111174,2017,10,4,6,u1qcym,1002.0
u1qcvbx,52.34281565855864,9.755338796276446,2018,3,2,4,u1qcvb,398.0
u1qfj2t,52.38571969838858,9.72999941722612,2019,2,1,12,u1qfj2,165.0
u1qcuq0,52.37252431017412,9.679589663991981,2017,4,1,6,u1qcuq,204.0
u1qfpcv,52.39273447621645,9.840293584056237,2018,6,7,9,u1qfpc,2091.0
u1qcwjc,52.32678560728207,9.757814987036506,2018,10,3,3,u1qcwj,-1.0
u1qcxu3,52.31939138198086,9.834474471432848,2017,11,5,0,u1qcxu,-1.0
u1qcsjm,52.3238215878503,9.675153798469493,2017,11,2,13,u1qcsj,23.0
u1qfjkm,52.40624201890691,9.730073872520153,2018,1,2,23,u1qfjk,1737.0
u1qfq9f,52.43718970131855,9.781823758616156,2017,9,3,6,u1qfq9,-1.0
u1r4020,52.38381196728135,9.856071536814868,2017,9,5,4,u1r402,2257.0
u1qfr6n,52.43807186314392,9.819986542538484,2017,3,4,13,u1qfr6,-1.0
u1r40je,52.41354578782477,9.848861231846394,2019,3,5,19,u1r40j,2138.0
u1r185r,52.31321077900821,9.853735280121413,2018,10,6,4,u1r185,-1.0
u1r1b4n,52.350424046696084,9.85330837062566,2017,7,4,16,u1r1b4,-1.0
u1qfn8y,52.388025436324796,9.786676423097768,2017,3,6,19,u1qfn8,1867.0
u1qcu6c,52.35510275579033,9.680364621506364,2017,9,7,0,u1qcu6,122.0
u1qcup7,52.38004430017703,9.67335471921399,2017,5,7,13,u1qcup,203.0
u1qcu1e,52.34827996106993,9.672260141657844,2018,11,7,14,u1qcu1,92.0
u1r1bz8,52.38062897931436,9.876915233981386,2017,1,1,9,u1r1bz,-1.0
u1qfp1j,52.38849940194541,9.806759882059245,2018,11,7,15,u1qfp1,2014.0
u1qf783,52.42871329202496,9.647536427921027,2018,8,6,22,u1qf78,1273.0
u1qcut7,52.3679843831253,9.694790007344423,2017,9,6,6,u1qcut,165.0
u1qcv03,52.34090867535775,9.713623232503924,2018,5,2,0,u1qcv0,57.0
u1qcvcr,52.345750777675235,9.755207012871699,2018,3,5,9,u1qcvc,398.0
u1qfhxs,52.42485501756444,9.695812755692119,2018,3,4,4,u1qfhx,1454.0
u1qfqfn,52.43819486392112,9.798031081701179,2018,12,1,19,u1qfqf,2198.0
u1qcytc,52.3715637555039,9.779622784777954,2019,3,3,7,u1qcyt,1008.0
u1qfr67,52.43996618190901,9.815136089834272,2017,8,7,21,u1qfr6,-1.0
u1qfpyt,52.41966985984474,9.840861795874424,2017,12,1,5,u1qfpy,2138.0
u1r40k5,52.40505925626301,9.859846773249568,2018,2,1,0,u1r40k,2326.0
u1r40b9,52.386923087648505,9.878150586670555,2018,10,3,16,u1r40b,-1.0
u1qczfx,52.35296185230399,9.842677276004398,2018,4,1,17,u1qczf,1146.0
u1qcu5y,52.3595081096268,9.677550728870514,2019,4,1,22,u1qcu5,115.0
u1qfj71,52.399471168585215,9.724274277755386,2018,3,7,2,u1qfj7,165.0
u1qcv76,52.35746515515112,9.726637112607724,2018,10,3,1,u1qcv7,165.0
u1qfp6p,52.39437317887509,9.82075272828978,2018,12,3,0,u1qfp6,2027.0
u1qcv0h,52.33955774071436,9.718166337363073,2018,10,2,12,u1qcv0,57.0
u1r1bxm,52.379059858926745,9.873491923514743,2018,2,6,13,u1r1bx,-1.0
u1qf5fp,52.3940142936174,9.666632582295156,2019,3,5,18,u1qf5f,1351.0
u1qcvr5,52.378527069764516,9.727386719951276,2017,9,5,14,u1qcvr,165.0
u1qctzs,52.337441140946076,9.750658759975646,2019,3,5,18,u1qctz,85.0
u1qfnn3,52.41813936880183,9.757913334729444,2018,4,2,6,u1qfnn,1934.0
u1qfn07,52.38484364672264,9.760605533720085,2017,10,5,23,u1qfn0,1028.0
u1r1b3m,52.34602056159045,9.861894341572754,2018,7,2,5,u1r1b3,-1.0
u1qfhhk,52.407188552487746,9.674384730594726,2018,1,5,15,u1qfhh,1414.0
u1qfhrx,52.424285238295546,9.688847860194313,2017,1,1,23,u1qfhr,1442.0
u1qfnx6,52.42313223001407,9.781870230817557,2017,10,7,9,u1qfnx,1988.0
u1qfj17,52.390347693297684,9.71731397509975,2018,4,2,3,u1qfj1,165.0
u1r40b1,52.38404735715118,9.879185079949279,2017,8,7,22,u1r40b,-1.0
u1qfpc8,52.39154181845314,9.833059669550499,2017,2,2,6,u1qfpc,2079.0
u1qfn93,52.390510951288064,9.779433364437082,2018,10,6,18,u1qfn9,-1.0
u1qfhbh,52.383136718044405,9.706878674110074,2018,12,3,15,u1qfhb,165.0
u1qf4ep,52.39935110849297,9.612868766488193,2018,3,1,12,u1qf4e,-1.0
u1qcy6t,52.35324358319839,9.774421281377906,2018,7,1,11,u1qcy6,929.0
u1qfj5u,52.40413640366541,9.71855150454808,2018,3,7,5,u1qfj5,165.0
u1r40v6,52.41227788842357,9.880528093059207,2017,6,1,6,u1r40v,-1.0
u1qfpt9,52.414279048702994,9.824509000544792,2018,12,1,12,u1qfpt,2133.0
u1r1bjj,52.366806174122104,9.851429407438424,2017,10,2,20,u1r1bj,2237.0
u1qcxrn,52.33420145776204,9.81920716233443,2018,4,4,15,u1qcxr,859.0
u1qczsv,52.3659918032965,9.828954158838672,2018,10,1,11,u1qczs,1128.0
u1qfpsu,52.40982058669801,9.827468376337603,2017,3,5,15,u1qfps,2130.0
u1qfhyr,52.41799519902934,9.711586374050901,2017,3,3,9,u1qfhy,1493.0
u1qczwk,52.37421990906881,9.827734841276113,2019,4,2,13,u1qczw,1192.0
u1qctn6,52.32986803563878,9.715012160819047,2017,12,6,8,u1qctn,63.0
u1r40kh,52.40545303877556,9.860957391024536,2019,1,6,7,u1r40k,2326.0
u1qczpz,52.382181276439844,9.810175877394453,2018,5,6,19,u1qczp,1174.0
u1r40hh,52.40535294332457,9.849778559511824,2017,1,2,22,u1r40h,2311.0
u1qcyqb,52.377263829009436,9.767150727362257,2017,1,2,16,u1qcyq,1036.0
u1qczm4,52.36659282425515,9.814683859697515,2019,5,5,11,u1qczm,1151.0
u1qcxj2,52.325018591394894,9.800345150648095,2018,9,6,21,u1qcxj,787.0
u1qcxdy,52.31117123221004,9.830537815446256,2019,5,5,3,u1qcxd,816.0
u1qfj3c,52.39267567645736,9.72452762916461,2018,9,3,8,u1qfj3,165.0
u1r415x,52.403000114975,9.897509561111589,2017,6,1,10,u1r415,2336.0
u1qcsms,52.32578002437742,9.684582034986331,2017,1,1,11,u1qcsm,24.0
u1qfhqc,52.420021128525455,9.681116932423693,2017,5,6,2,u1qfhq,-1.0
u1qcv6x,52.35308745882109,9.732558429173912,2018,10,7,11,u1qcv6,405.0
u1qcy5d,52.35846851799596,9.759233421670992,2017,1,7,2,u1qcy5,165.0
u1r1bu9,52.36470944615122,9.879267132675935,2019,2,6,18,u1r1bu,-1.0
u1qfm24,52.42733133570604,9.72642194867229,2019,4,7,21,u1qfm2,1751.0
u1qcu5b,52.35957732425258,9.669198522387248,2018,9,6,0,u1qcu5,105.0
u1r18z2,52.33543546248548,9.87713188595592,2017,8,7,23,u1r18z,-1.0
u1qcz96,52.34604597345564,9.825669464266431,2018,11,1,11,u1qcz9,868.0
u1qcy3k,52.34691778074129,9.773278622438607,2017,10,5,2,u1qcy3,903.0
u1qfhk4,52.404806879176256,9.681785476180641,2018,3,1,6,u1qfhk,1424.0
u1qfpy6,52.41833124449155,9.836111615656847,2017,3,2,11,u1qfpy,2143.0
u1qcu8p,52.33985429498596,9.700787683435475,2017,3,5,1,u1qcu8,145.0
u1qfpk3,52.4062645278405,9.813075216484874,2017,3,3,20,u1qfpk,2052.0
u1qfqe2,52.44465493167277,9.778979418496311,2018,9,6,14,u1qfqe,-1.0
u1qfnhy,52.409777512792175,9.764772739214127,2018,7,1,23,u1qfnh,1920.0
u1r400z,52.38742663980407,9.854539165972833,2017,9,7,11,u1r400,2257.0
u1r40q3,52.41825401352657,9.857141480222868,2017,12,7,11,u1r40q,2335.0
u1qcyxy,52.38265321303359,9.787287259519072,2019,4,6,17,u1qcyx,1872.0
u1qfr5j,52.443932239087744,9.806686629315767,2018,6,4,11,u1qfr5,-1.0
u1qcwt4,52.323262682726536,9.781088042847227,2018,4,5,9,u1qcwt,756.0
u1r400s,52.38684784315787,9.850413258496188,2017,5,1,17,u1r400,2272.0
u1qfq6u,52.44239032207269,9.773415816604148,2017,6,2,20,u1qfq6,-1.0
u1qcyew,52.358777393858006,9.786962518691835,2017,7,6,14,u1qcye,956.0
u1qcy2x,52.34252620298162,9.777612922383376,2018,12,1,13,u1qcy2,938.0
u1r40en,52.40041658212991,9.875023466280973,2018,10,5,22,u1r40e,2302.0
u1qcs7z,52.316762207118884,9.689266957881742,2018,4,4,4,u1qcs7,-1.0
u1qfp1r,52.38982084076667,9.809982362563144,2017,5,5,14,u1qfp1,2018.0
u1qczq5,52.37298647797881,9.815494914088003,2017,8,5,3,u1qczq,-1.0
u1qfn1w,52.39140106879698,9.765397227275493,2018,7,3,12,u1qfn1,165.0
u1qfhwu,52.421102269495414,9.696049050056748,2018,1,4,4,u1qfhw,1454.0
u1qcufx,52.35319810680181,9.710933651968498,2018,5,3,16,u1qcuf,360.0
u1qcy1v,52.349752788952465,9.763215256655203,2019,4,1,6,u1qcy1,895.0
u1r18e2,52.31289200651203,9.866313138184406,2019,5,6,17,u1r18e,-1.0
u1qfh8x,52.38652773234191,9.700064791673565,2018,6,5,18,u1qfh8,-1.0
u1qczg2,52.357954340569584,9.833154483540538,2018,12,7,12,u1qczg,1147.0
u1qfh5b,52.403505962629325,9.668676295137912,2017,7,3,18,u1qfh5,1237.0
u1qfjzx,52.425070934425996,9.755852496870274,2018,12,1,3,u1qfjz,-1.0
u1qfh72,52.40199113626479,9.67986668912177,2019,3,4,2,u1qfh7,1367.0
u1qczvs,52.36949541319139,9.838349944317157,2018,9,1,11,u1qczv,-1.0
u1qczx0,52.378483911628024,9.822900332010816,2018,12,7,9,u1qczx,1193.0
u1qcz78,52.35913430085263,9.811812933228072,2018,5,2,13,u1qcz7,1102.0
u1qcvp5,52.37829714876803,9.716508341641788,2019,1,3,18,u1qcvp,165.0
u1qfp97,52.39076143725147,9.82637401464685,2017,11,2,17,u1qfp9,2071.0
u1qcz77,52.35738057376683,9.815050754570835,2018,12,2,20,u1qcz7,1105.0
u1qczkz,52.365624159333144,9.821206943198952,2019,5,5,18,u1qczk,1158.0
u1r185y,52.31648177730561,9.852475978036605,2018,1,2,9,u1r185,-1.0
u1qfp4q,52.3952430795803,9.808567113171783,2019,1,6,16,u1qfp4,2043.0
u1qfppr,52.423944400342684,9.809936841634524,2018,1,2,12,u1qfpp,-1.0
u1qcv7f,52.36021867060234,9.726599767313456,2017,6,2,19,u1qcv7,165.0
u1qcyuz,52.365643650160216,9.798682559261275,2017,6,3,7,u1qcyu,-1.0
u1qcwwy,52.33321771835924,9.786865380272596,2018,9,6,17,u1qcww,792.0
u1qcv9y,52.34913680594718,9.743355150938305,2018,12,1,0,u1qcv9,-1.0
u1qczgv,52.35969081007948,9.840701068394818,2018,3,6,2,u1qczg,1148.0
u1qcyx3,52.378713310634716,9.779672742874595,2018,5,7,9,u1qcyx,1066.0
u1qf5xk,52.42264139772679,9.652520493284946,2018,4,4,19,u1qf5x,1273.0
u1qfjwg,52.421119338664674,9.739324284700698,2017,8,2,5,u1qfjw,165.0
u1qcykn,52.36129126927007,9.776353039515149,2017,7,4,10,u1qcyk,1046.0
u1qf5zp,52.4219806143664,9.667318311064506,2017,12,3,23,u1qf5z,1435.0
u1qcgyh,52.37236288001281,9.662693773092943,2018,2,6,10,u1qcgy,10.0
u1r1b81,52.33955267119863,9.867543535265726,2018,3,2,9,u1r1b8,2221.0
u1qfh7z,52.40463331347599,9.689338186556027,2017,9,3,22,u1qfh7,1426.0
u1qcuek,52.35689379817124,9.695822994716154,2018,4,6,4,u1qcue,158.0
u1qcymd,52.37041729123439,9.769825517101722,2017,6,3,20,u1qcym,1008.0
u1qf4fg,52.398884116374205,9.61795895072864,2019,1,4,0,u1qf4f,-1.0
u1qcz62,52.35191354744629,9.811441910411881,2017,8,4,19,u1qcz6,1103.0
u1qfjjw,52.4133209409888,9.720389186867024,2017,11,4,18,u1qfjj,1735.0
u1qcvcf,52.34891744537506,9.748074737476687,2018,6,6,19,u1qcvc,402.0
u1qf5n7,52.41736845549365,9.628816227878378,2017,5,2,19,u1qf5n,1234.0
u1qfn2e,52.38625918918388,9.771447992964852,2019,1,3,12,u1qfn2,1822.0
u1qcvvf,52.3714505979879,9.748421011077337,2018,7,7,19,u1qcvv,165.0
u1qfr49,52.44166024684517,9.801884450961344,2017,8,6,22,u1qfr4,2205.0
u1qcsxh,52.33384610528285,9.696756867155083,2018,9,7,7,u1qcsx,47.0
u1qfp2c,52.38736015294766,9.812702227417867,2019,2,1,18,u1qfp2,2020.0
u1qcyzp,52.377653618393964,9.798887105149321,2019,4,2,2,u1qcyz,1084.0
u1qfnrd,52.42452371979592,9.7696842299981,2017,8,5,17,u1qfnr,2174.0
u1r184w,52.309472931550935,9.852189418851346,2018,4,2,10,u1r184,-1.0
u1r18pe,52.33694705609085,9.848944914719572,2018,12,7,0,u1r18p,-1.0
u1qfn3j,52.389462231486256,9.773782775127467,2018,10,2,14,u1qfn3,-1.0
u1qcwsy,52.321261443797376,9.786813344797435,2018,8,6,3,u1qcws,756.0
u1r1bpb,52.38231982669098,9.84410764959475,2017,11,6,17,u1r1bp,2077.0
u1qcxx0,52.33342675762545,9.821854351454117,2017,1,6,17,u1qcxx,859.0
u1qf5ud,52.407548568567236,9.660884263354896,2018,2,6,2,u1qf5u,1234.0
u1qfhm7,52.4123058209925,9.68383189317426,2017,12,1,15,u1qfhm,1427.0
u1qcyz4,52.378555999706535,9.791959930263245,2018,12,1,17,u1qcyz,1081.0
u1qfjcw,52.3922975461175,9.75341624954862,2017,9,5,17,u1qfjc,165.0
u1qcuk4,52.36179483822941,9.682400258704671,2018,5,6,5,u1qcuk,122.0
u1qcwnb,52.33214255470021,9.75590612246024,2017,8,1,8,u1qcwn,83.0
u1qcwwg,52.33309340898448,9.782335956804449,2017,7,6,11,u1qcww,795.0
u1qctzb,52.33808155830121,9.745307567566224,2019,3,6,3,u1qctz,84.0
u1qcuyk,52.37320866110491,9.707161806442825,2017,11,4,8,u1qcuy,165.0
u1r1bhg,52.365196487941205,9.84872423017435,2018,10,1,3,u1r1bh,-1.0
u1r40sy,52.40943425520992,9.875054779214278,2017,7,1,10,u1r40s,-1.0
u1qfpfq,52.3961702142397,9.841169750189266,2018,5,3,21,u1qfpf,2091.0
u1qcuv5,52.367157138112795,9.705267423325855,2017,9,5,0,u1qcuv,165.0
u1r1855,52.31158605437666,9.848229630165418,2017,2,3,6,u1r185,-1.0
